fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
6.3;0.41;0.18;3.5;0.027;23;109;0.99018;3.34;0.54;12.8;2
6.8;0.37;0.28;1.9;0.024;64;106;0.98993;3.45;0.6;12.6;2
7.7;0.4;0.27;4.5;0.034;27;95;0.99175;3.21;0.59;12.3;2
6.9;0.15;0.28;4.4;0.029;14;107;0.99347;3.24;0.46;10.4;2
6.9;0.15;0.28;4.4;0.029;14;107;0.99347;3.24;0.46;10.4;2
6.8;0.46;0.26;2.7;0.042;28;83;0.99114;3.38;0.51;12;2
7;0.28;0.26;1.7;0.042;34;130;0.9925;3.43;0.5;10.7;2
7.3;0.17;0.24;8.1;0.121;32;162;0.99508;3.17;0.38;10.4;2
7.3;0.17;0.24;8.1;0.121;32;162;0.99508;3.17;0.38;10.4;2
8;0.13;0.25;1.1;0.033;15;86;0.99044;2.98;0.39;11.2;2
5.8;0.17;0.34;1.8;0.045;96;170;0.99035;3.38;0.9;11.8;2
5.8;0.17;0.34;1.8;0.045;96;170;0.99035;3.38;0.9;11.8;2
5.8;0.315;0.27;1.55;0.026;15;70;0.98994;3.37;0.4;11.9;2
7;0.36;0.32;10.05;0.045;37;131;0.99352;3.09;0.33;11.7;2
7;0.36;0.32;10.05;0.045;37;131;0.99352;3.09;0.33;11.7;2
7;0.36;0.32;10.5;0.045;35;135;0.9935;3.09;0.33;11.6;2
6.4;0.22;0.32;7.2;0.028;15;83;0.993;3.13;0.55;10.9;2
5.5;0.15;0.32;14;0.031;16;99;0.99437;3.26;0.38;11.5;2
6.4;0.22;0.32;7.2;0.028;15;83;0.993;3.13;0.55;10.9;2
6.6;0.29;0.31;3.9;0.027;39;96;0.99035;3.24;0.6;12.6;2
5.8;0.21;0.32;1.6;0.045;38;95;0.98946;3.23;0.94;12.4;2
5.2;0.285;0.29;5.15;0.035;64;138;0.9895;3.19;0.34;12.4;2
6.5;0.44;0.47;5.45;0.014;44;137;0.98984;3.13;0.32;13;2
5.2;0.155;0.33;1.6;0.028;13;59;0.98975;3.3;0.84;11.9;2
5.6;0.21;0.4;1.3;0.041;81;147;0.9901;3.22;0.95;11.6;2
5.2;0.155;0.33;1.6;0.028;13;59;0.98975;3.3;0.84;11.9;2
7;0.12;0.29;10.3;0.039;41;98;0.99564;3.19;0.38;9.8;2
7;0.12;0.29;10.3;0.039;41;98;0.99564;3.19;0.38;9.8;2
7;0.12;0.29;10.3;0.039;41;98;0.99564;3.19;0.38;9.8;2
4.9;0.33;0.31;1.2;0.016;39;150;0.98713;3.33;0.59;14;2
5.5;0.34;0.26;2.2;0.021;31;119;0.98919;3.55;0.49;13;2
6.5;0.35;0.36;0.8;0.034;32;111;0.98942;3.11;0.5;12.1;2
6.8;0.22;0.31;6.9;0.037;33;121;0.99176;3.02;0.39;11.9;2
7.1;0.47;0.29;14.8;0.024;22;142;0.99518;3.12;0.48;12;2
7.1;0.47;0.29;14.8;0.024;22;142;0.99518;3.12;0.48;12;2
6.8;0.28;0.43;7.6;0.03;30;110;0.99164;3.08;0.59;12.5;2
7;0.53;0.43;6.1;0.029;6;76;0.99118;3.08;0.5;12.5;2
6.8;0.28;0.43;7.6;0.03;30;110;0.99164;3.08;0.59;12.5;2
6.7;0.33;0.36;6.6;0.042;34;116;0.99123;2.97;0.31;12.2;2
6.7;0.33;0.34;7.5;0.036;39;124;0.99123;2.99;0.32;12.4;2
6.9;0.36;0.35;8.6;0.038;37;125;0.9916;3;0.32;12.4;2
7;0.17;0.36;6.4;0.055;42;123;0.99318;3.11;0.5;11;2
7.1;0.26;0.37;5.5;0.025;31;105;0.99082;3.06;0.33;12.6;2
5.3;0.3;0.16;4.2;0.029;37;100;0.9905;3.3;0.36;11.8;2
6.5;0.26;0.31;3.6;0.03;36;92;0.99026;3.22;0.62;12.6;2
6.6;0.23;0.3;4.6;0.06;29;154;0.99142;3.23;0.49;12.2;2
5.6;0.12;0.33;2.9;0.044;21;73;0.98896;3.17;0.32;12.9;2
5.6;0.12;0.33;2.9;0.044;21;73;0.98896;3.17;0.32;12.9;2
6.1;0.28;0.27;4.7;0.03;56;140;0.99042;3.16;0.42;12.5;2
6.1;0.28;0.27;4.7;0.03;56;140;0.99042;3.16;0.42;12.5;2
6.9;0.28;0.3;8.3;0.026;37;113;0.99139;2.99;0.38;12.3;2
6.3;0.29;0.28;4.7;0.059;28;81;0.99036;3.24;0.56;12.7;2
6.2;0.28;0.28;4.3;0.026;22;105;0.989;2.98;0.64;13.1;2
6.6;0.15;0.32;6;0.033;59;128;0.99192;3.19;0.71;12.1;2
6.6;0.15;0.32;6;0.033;59;128;0.99192;3.19;0.71;12.1;2
6.7;0.24;0.3;3.85;0.042;105;179;0.99189;3.04;0.59;11.3;2
6.6;0.16;0.36;1.1;0.031;27;93;0.98884;3.23;0.34;13.2;2
6.7;0.24;0.3;3.85;0.042;105;179;0.99189;3.04;0.59;11.3;2
6.5;0.3;0.27;4;0.038;37;97;0.99026;3.2;0.6;12.6;2
6.2;0.37;0.24;6.1;0.032;19;86;0.98934;3.04;0.26;13.4;2
6.5;0.3;0.27;4;0.038;37;97;0.99026;3.2;0.6;12.6;2
5.4;0.45;0.27;6.4;0.033;20;102;0.98944;3.22;0.27;13.4;2
6.2;0.37;0.24;6.1;0.032;19;86;0.98934;3.04;0.26;13.4;2
6.7;0.28;0.31;7.4;0.041;7;81;0.99254;3.04;0.47;11.4;2
5.7;0.15;0.47;11.4;0.035;49;128;0.99456;3.03;0.34;10.5;2
5.4;0.53;0.16;2.7;0.036;34;128;0.98856;3.2;0.53;13.2;2
5.8;0.32;0.28;4.3;0.032;46;115;0.98946;3.16;0.57;13;2
5;0.29;0.54;5.7;0.035;54;155;0.98976;3.27;0.34;12.9;2
5.4;0.53;0.16;2.7;0.036;34;128;0.98856;3.2;0.53;13.2;2
5.8;0.32;0.28;4.3;0.032;46;115;0.98946;3.16;0.57;13;2
7.3;0.41;0.29;1.8;0.032;26;74;0.98889;2.96;0.35;13;2
7;0.22;0.26;9.2;0.027;37;122;0.99228;3.06;0.34;12.5;2
7;0.22;0.26;9.2;0.027;37;122;0.99228;3.06;0.34;12.5;2
5.4;0.46;0.15;2.1;0.026;29;130;0.98953;3.39;0.77;13.4;2
5.4;0.46;0.15;2.1;0.026;29;130;0.98953;3.39;0.77;13.4;2
6.9;0.22;0.28;7.8;0.05;43;116;0.99326;3.22;0.6;11.5;2
6.6;0.5;0.26;11.3;0.029;32;110;0.99302;3.27;0.78;12.9;2
6.5;0.33;0.24;14.5;0.048;20;96;0.99456;3.06;0.3;11.5;2
6.5;0.43;0.31;3.6;0.046;19;143;0.99022;3.15;0.34;12;2
6.3;0.17;0.32;1;0.04;39;118;0.98886;3.31;0.4;13.1;2
7.1;0.45;0.24;2.7;0.04;24;87;0.98862;2.94;0.38;13.4;2
7.3;0.19;0.27;13.9;0.057;45;155;0.99807;2.94;0.41;8.8;2
7.3;0.19;0.27;13.9;0.057;45;155;0.99807;2.94;0.41;8.8;2
7.3;0.19;0.27;13.9;0.057;45;155;0.99807;2.94;0.41;8.8;2
7.3;0.19;0.27;13.9;0.057;45;155;0.99807;2.94;0.41;8.8;2
7.3;0.19;0.27;13.9;0.057;45;155;0.99807;2.94;0.41;8.8;2
7.3;0.19;0.27;13.9;0.057;45;155;0.99807;2.94;0.41;8.8;2
7.3;0.19;0.27;13.9;0.057;45;155;0.99807;2.94;0.41;8.8;2
6.8;0.24;0.29;2;0.044;15;96;0.99232;3.23;0.64;10.4;2
7.3;0.19;0.27;13.9;0.057;45;155;0.99807;2.94;0.41;8.8;2
5.2;0.3;0.34;1.5;0.038;18;96;0.98942;3.56;0.48;13;2
6.4;0.32;0.25;5;0.055;28;138;0.99171;3.27;0.5;12.4;2
4.4;0.32;0.39;4.3;0.03;31;127;0.98904;3.46;0.36;12.8;2
3.9;0.225;0.4;4.2;0.03;29;118;0.989;3.57;0.36;12.8;2
5.8;0.28;0.34;2.2;0.037;24;125;0.98986;3.36;0.33;12.8;2
9.1;0.27;0.45;10.6;0.035;28;124;0.997;3.2;0.46;10.4;2
6.6;0.36;0.29;1.6;0.021;24;85;0.98965;3.41;0.61;12.4;2
7.4;0.24;0.36;2;0.031;27;139;0.99055;3.28;0.48;12.5;2
6.9;0.36;0.34;4.2;0.018;57;119;0.9898;3.28;0.36;12.7;2
7.1;0.26;0.49;2.2;0.032;31;113;0.9903;3.37;0.42;12.9;2
6.6;0.16;0.34;1.1;0.037;41;115;0.9899;3.01;0.68;12;1
8.2;0.3;0.44;12.4;0.043;52;154;0.99452;3.04;0.33;12;1
5.7;0.15;0.28;3.7;0.045;57;151;0.9913;3.22;0.27;11.2;1
5.7;0.2;0.3;2.5;0.046;38;125;0.99276;3.34;0.5;9.9;1
6.8;0.27;0.37;8.2;0.055;52;192;0.99586;3.11;0.52;9.5;1
6.8;0.27;0.42;7.3;0.054;58;200;0.99556;3.12;0.49;9.4;1
6.7;0.13;0.57;6.6;0.056;60;150;0.99548;2.96;0.43;9.4;1
6.8;0.21;0.37;7;0.038;27;107;0.99206;2.98;0.82;11.5;1
6.2;0.2;0.29;11.8;0.035;21;93;0.99364;3.18;0.34;11.9;1
6.6;0.25;0.34;3;0.054;22;141;0.99338;3.26;0.47;10.4;1
5.7;0.15;0.28;3.7;0.045;57;151;0.9913;3.22;0.27;11.2;1
6.9;0.22;0.39;6;0.035;44;141;0.99123;3.11;0.33;12.5;1
6.4;0.16;0.42;1;0.036;29;113;0.9908;3.18;0.52;11;1
7;0.29;0.35;1.4;0.036;42;109;0.99119;3.31;0.62;11.6;1
6.8;0.22;0.41;6.7;0.034;39;116;0.99245;3.18;0.46;11.5;1
7.7;0.27;0.49;3.8;0.037;46;139;0.99116;3.04;0.38;11.6;1
6.7;0.13;0.45;4.2;0.043;52;131;0.99162;3.06;0.54;11.3;1
6.7;0.24;0.37;11.3;0.043;64;173;0.99632;3.08;0.53;9.9;1
7.4;0.19;0.31;14.5;0.045;39;193;0.9986;3.1;0.5;9.2;1
7.4;0.19;0.31;14.5;0.045;39;193;0.9986;3.1;0.5;9.2;1
7.4;0.19;0.31;14.5;0.045;39;193;0.9986;3.1;0.5;9.2;1
7.4;0.19;0.31;14.5;0.045;39;193;0.9986;3.1;0.5;9.2;1
7.4;0.19;0.31;14.5;0.045;39;193;0.9986;3.1;0.5;9.2;1
7.4;0.19;0.31;14.5;0.045;39;193;0.9986;3.1;0.5;9.2;1
5.9;0.24;0.12;1.4;0.035;60;247;0.99358;3.34;0.44;9.6;1
8.1;0.24;0.32;10.5;0.03;34;105;0.99407;3.11;0.42;11.8;1
5.8;0.23;0.2;2;0.043;39;154;0.99226;3.21;0.39;10.2;1
7.5;0.33;0.36;2.6;0.051;26;126;0.99097;3.32;0.53;12.7;1
7.4;0.16;0.32;1.4;0.065;23;140;0.99134;3.06;0.47;11.4;1
6.5;0.32;0.3;2.3;0.051;20;127;0.98964;3.13;0.52;12.8;1
6.6;0.2;0.14;4.4;0.184;35;168;0.99396;2.93;0.45;9.4;1
8;0.34;0.25;6.4;0.035;38;103;0.99148;2.91;0.23;12.2;1
6.6;0.2;0.14;4.4;0.184;35;168;0.99396;2.93;0.45;9.4;1
7.3;0.25;0.28;1.5;0.043;19;113;0.99338;3.38;0.56;10.1;1
6.3;0.24;0.35;2.3;0.039;43;109;0.99056;3.34;0.44;11.8;1
6.6;0.24;0.28;6.7;0.032;26;91;0.99172;3.13;0.32;12.3;1
6.4;0.35;0.28;12.6;0.039;19;124;0.99539;3.2;0.43;10.6;1
6.6;0.435;0.38;9.2;0.058;66;243;0.99833;3.23;0.54;9.1;1
5.8;0.18;0.37;1.1;0.036;31;96;0.98942;3.16;0.48;12;1
5.6;0.32;0.32;8.3;0.043;32;105;0.99266;3.24;0.47;11.2;1
6;0.26;0.33;4.35;0.04;15;80;0.98934;3.29;0.5;12.7;1
7.1;0.17;0.31;1.6;0.037;15;103;0.991;3.14;0.5;12;1
6.9;0.17;0.3;2;0.047;13;117;0.99152;3.16;0.51;11.6;1
6.7;0.21;0.34;1.4;0.049;36;112;0.99091;3.02;0.5;11;1
6.7;0.23;0.33;8.1;0.048;45;176;0.99472;3.11;0.52;10.1;1
6.8;0.23;0.32;8.6;0.046;47;159;0.99452;3.08;0.52;10.5;1
5.1;0.165;0.22;5.7;0.047;42;146;0.9934;3.18;0.55;9.9;1
6.6;0.425;0.25;2.35;0.034;23;87;0.99082;3.05;0.41;11.4;1
6.9;0.38;0.29;13.65;0.048;52;189;0.99784;3;0.6;9.5;1
6.9;0.38;0.29;13.65;0.048;52;189;0.99784;3;0.6;9.5;1
6.9;0.38;0.29;13.65;0.048;52;189;0.99784;3;0.6;9.5;1
7.2;0.27;0.28;15.2;0.046;6;41;0.99665;3.17;0.39;10.9;1
7.6;0.17;0.27;4.6;0.05;23;98;0.99422;3.08;0.47;9.5;1
6.2;0.3;0.31;1.2;0.048;19;125;0.98999;3.32;0.54;12.6;1
7.6;0.17;0.27;4.6;0.05;23;98;0.99422;3.08;0.47;9.5;1
6.9;0.38;0.29;13.65;0.048;52;189;0.99784;3;0.6;9.5;1
6.8;0.18;0.24;9.8;0.058;64;188;0.9952;3.13;0.51;10.6;1
6.7;0.18;0.24;10.3;0.057;64;185;0.99519;3.12;0.5;10.6;1
6.6;0.16;0.21;6.7;0.055;43;157;0.99384;3.15;0.52;10.8;1
7.2;0.27;0.28;15.2;0.046;6;41;0.99665;3.17;0.39;10.9;1
6.4;0.17;0.27;9.9;0.047;26;101;0.99596;3.34;0.5;9.9;1
7.2;0.22;0.28;7.2;0.06;41;132;0.9935;3.08;0.59;11.3;1
6;0.22;0.28;1.1;0.034;47;90;0.98862;3.22;0.38;12.6;1
6.7;0.36;0.28;8.3;0.034;29;81;0.99151;2.96;0.39;12.5;1
6.5;0.43;0.28;11.25;0.032;31;87;0.9922;3.02;0.38;12.4;1
5.3;0.32;0.23;9.65;0.026;26;119;0.99168;3.18;0.53;12.2;1
6.8;0.2;0.28;12.6;0.048;54;136;0.99556;3.19;0.37;10.7;1
6.7;0.36;0.28;8.3;0.034;29;81;0.99151;2.96;0.39;12.5;1
6.5;0.43;0.28;11.25;0.032;31;87;0.9922;3.02;0.38;12.4;1
6.4;0.17;0.27;9.9;0.047;26;101;0.99596;3.34;0.5;9.9;1
7.2;0.22;0.28;7.2;0.06;41;132;0.9935;3.08;0.59;11.3;1
6;0.22;0.28;1.1;0.034;47;90;0.98862;3.22;0.38;12.6;1
6;0.2;0.26;1.1;0.033;38;67;0.98954;3.14;0.38;11.5;1
6.2;0.3;0.21;1.1;0.032;31;111;0.9889;2.97;0.42;12.2;1
