school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;F;18;U;1;A;4;4;at_home;teacher;course;mother;2;2;0;1;0;0;1;1;0;0;4;3;4;1;1;3;6;0;0;0
GP;F;17;U;1;T;1;1;at_home;other;course;father;1;2;0;0;1;0;0;1;1;0;5;3;3;1;1;3;4;0;0;0
GP;F;15;U;0;T;1;1;at_home;other;other;mother;1;2;3;1;0;1;1;1;1;0;4;3;2;2;3;3;10;1;1;1
GP;F;15;U;1;T;4;2;health;services;home;mother;1;3;0;0;1;1;1;1;1;1;3;2;2;1;1;5;2;2;1;2
GP;F;16;U;1;T;3;3;other;other;home;father;1;2;0;0;1;1;1;1;0;0;4;3;2;1;2;5;4;0;1;1
GP;M;16;U;0;T;4;3;services;other;reputation;mother;1;2;0;0;1;1;1;1;1;0;5;4;2;1;2;5;10;2;2;2
GP;M;16;U;0;T;2;2;other;other;home;mother;1;2;0;0;0;0;1;1;1;0;4;4;4;1;1;3;0;1;1;1
GP;F;17;U;1;A;4;4;other;teacher;home;mother;2;2;0;1;1;0;1;1;0;0;4;1;4;1;1;1;6;0;0;0
GP;M;15;U;0;A;3;2;services;other;home;mother;1;2;0;0;1;1;1;1;1;0;4;2;2;1;1;1;0;2;2;2
GP;M;15;U;1;T;3;4;other;other;home;mother;1;2;0;0;1;1;1;1;1;0;5;5;1;1;1;5;0;1;2;2
GP;F;15;U;1;T;4;4;teacher;health;reputation;mother;1;2;0;0;1;1;1;1;1;0;3;3;3;1;2;2;0;1;1;1
GP;F;15;U;1;T;2;1;services;other;reputation;father;3;3;0;0;1;0;1;1;1;0;5;2;2;1;1;4;4;1;1;1
GP;M;15;U;0;T;4;4;health;services;course;father;1;1;0;0;1;1;1;1;1;0;4;3;3;1;3;5;2;1;1;1
GP;M;15;U;1;T;4;3;teacher;other;course;mother;2;2;0;0;1;1;1;1;1;0;5;4;3;1;2;3;2;1;1;1
GP;M;15;U;1;A;2;2;other;other;home;other;1;3;0;0;1;0;1;1;1;1;4;5;2;1;1;3;0;1;2;2
