Month;Location;MinTemp;MaxTemp;Rainfall;WindGustSpeed;WindSpeed9am;WindSpeed3pm;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;Cloud3pm;Temp9am;Temp3pm;RainToday;RainTomorrow
1;Albury;20.4;37.6;0;54;0;7;46;17;1013.4;1009.2;3;26.1;36.7;No;No
1;Albury;20.9;33.6;0.4;50;9;17;54;30;1011.1;1008.4;8;24.8;31.7;No;Yes
1;Albury;18.4;23.1;2.2;48;11;39;62;67;1014;1014.8;8;21.8;19.5;Yes;Yes
1;Albury;17.3;23.7;15.6;39;9;17;74;65;1017.9;1016.5;8;19.2;21.6;Yes;Yes
1;Albury;15.5;22.9;6.8;31;6;9;92;63;1016.3;1013.9;8;17.2;22.2;Yes;No
1;Albury;17;28.1;0.2;39;9;11;76;52;1014.6;1012.6;8;20.3;25.7;No;No
1;Albury;16.4;28;0;35;20;20;46;31;1017.4;1015.7;2;20.9;26.6;No;No
1;Albury;14.3;31.7;0;24;11;6;63;24;1019.6;1017.2;8;19.4;28.7;No;No
1;Albury;16.7;35;0;28;11;9;52;24;1018.6;1015.5;3;24.2;33.1;No;No
1;Albury;17.8;37;0;41;9;17;54;17;1016.6;1012.6;-1;26.2;36.2;No;No
1;Albury;17.7;39.2;0;56;9;7;46;13;1011.6;1007.5;8;26;37;No;No
1;Albury;20.6;38.9;0;56;6;24;40;18;1010.8;1009.8;-1;28.1;37.6;No;No
1;Albury;20.2;43;0;72;15;24;51;16;1013.8;1007.5;-1;27.9;42.3;No;No
1;Albury;26.8;30.2;0;50;9;24;50;39;1010.5;1015.5;8;27.2;21.4;No;No
1;Albury;10.4;25.2;0;46;19;20;41;31;1026.1;1023.8;-1;15.9;23.9;No;No
1;Albury;10.7;29.4;0;35;13;9;45;19;1027.4;1022.9;-1;17.8;27.3;No;No
1;Albury;14.5;30.6;0;24;13;4;51;31;1024.2;1019.6;3;20.5;28.1;No;No
1;Albury;14.4;33.5;0;28;9;15;53;22;1019.2;1014.7;-1;22.5;31.9;No;No
1;Albury;16.1;40;0;50;7;19;46;15;1015.5;1009.4;5;24.3;37.6;No;No
1;Albury;23.4;33.9;0;39;13;7;23;24;1010.1;1009.3;8;30.2;31.5;No;No
1;Albury;20.4;38;0;56;9;35;62;22;1009;1007.2;8;24.8;33.4;No;No
1;Albury;22.8;28.1;0;39;9;2;67;89;1008.8;1007.4;8;24.2;21.7;No;Yes
1;Albury;17;31.3;12.6;41;9;20;72;40;1009.2;1008.1;1;22.1;31;Yes;No
1;Albury;16.6;33.2;0;30;15;17;55;30;1011.3;1008.3;-1;22.4;31.2;No;No
1;Albury;18.1;32.8;0;39;11;11;56;30;1012.1;1009.6;1;24;30.5;No;No
